team1,team2,venue,toss_winner,toss_decision,team1_wins,team1_losses,team2_wins,team2_losses,h2h_team1_wins,h2h_team2_wins,team1_form,team2_form,home_team,winner
Royal Challengers Bangalore,Kolkata Knight Riders,Eden Gardens,Kolkata Knight Riders,bat,62,38,55,45,5,5,4,4,Kolkata Knight Riders,Kolkata Knight Riders
Sunrisers Hyderabad,Mumbai Indians,Arun Jaitley Stadium,Sunrisers Hyderabad,field,40,60,44,56,3,7,4,2,Sunrisers Hyderabad,Sunrisers Hyderabad
Chennai Super Kings,Kolkata Knight Riders,M. A. Chidambaram Stadium,Kolkata Knight Riders,bat,47,53,74,26,7,3,4,2,Chennai Super Kings,Chennai Super Kings
Kolkata Knight Riders,Chennai Super Kings,M. A. Chidambaram Stadium,Chennai Super Kings,bat,54,46,64,36,7,3,4,2,Kolkata Knight Riders,Kolkata Knight Riders
Punjab Kings,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Punjab Kings,field,73,27,47,53,3,7,4,3,Sunrisers Hyderabad,Punjab Kings
Lucknow Super Giants,Gujarat Titans,Arun Jaitley Stadium,Lucknow Super Giants,field,45,55,43,57,5,5,1,3,Lucknow Super Giants,Lucknow Super Giants
Mumbai Indians,Rajasthan Royals,Wankhede Stadium,Rajasthan Royals,field,77,23,41,59,5,5,2,3,Mumbai Indians,Rajasthan Royals
Royal Challengers Bangalore,Punjab Kings,Arun Jaitley Stadium,Royal Challengers Bangalore,bat,75,25,52,48,5,5,3,1,Punjab Kings,Royal Challengers Bangalore
Delhi Capitals,Punjab Kings,Wankhede Stadium,Delhi Capitals,bat,54,46,63,37,5,5,1,5,Delhi Capitals,Punjab Kings
Chennai Super Kings,Sunrisers Hyderabad,M. Chinnaswamy Stadium,Sunrisers Hyderabad,field,69,31,74,26,7,3,5,5,Sunrisers Hyderabad,Sunrisers Hyderabad
Rajasthan Royals,Kolkata Knight Riders,Sawai Mansingh Stadium,Rajasthan Royals,bat,72,28,64,36,3,7,1,2,Rajasthan Royals,Rajasthan Royals
Rajasthan Royals,Mumbai Indians,M. Chinnaswamy Stadium,Rajasthan Royals,field,69,31,78,22,5,5,4,5,Mumbai Indians,Mumbai Indians
Lucknow Super Giants,Royal Challengers Bangalore,M. A. Chidambaram Stadium,Lucknow Super Giants,field,77,23,52,48,6,4,5,4,Royal Challengers Bangalore,Lucknow Super Giants
Rajasthan Royals,Mumbai Indians,Eden Gardens,Rajasthan Royals,field,50,50,49,51,4,6,3,4,Rajasthan Royals,Rajasthan Royals
Delhi Capitals,Punjab Kings,Wankhede Stadium,Punjab Kings,bat,68,32,53,47,3,7,3,1,Punjab Kings,Punjab Kings
Kolkata Knight Riders,Royal Challengers Bangalore,M. A. Chidambaram Stadium,Kolkata Knight Riders,bat,64,36,65,35,5,5,2,2,Royal Challengers Bangalore,Royal Challengers Bangalore
Chennai Super Kings,Lucknow Super Giants,M. Chinnaswamy Stadium,Chennai Super Kings,bat,61,39,65,35,6,4,2,5,Chennai Super Kings,Chennai Super Kings
Delhi Capitals,Chennai Super Kings,M. Chinnaswamy Stadium,Chennai Super Kings,bat,58,42,71,29,7,3,1,5,Chennai Super Kings,Chennai Super Kings
Rajasthan Royals,Gujarat Titans,Arun Jaitley Stadium,Rajasthan Royals,bat,43,57,40,60,7,3,3,2,Gujarat Titans,Gujarat Titans
Gujarat Titans,Sunrisers Hyderabad,Punjab Cricket Association IS Bindra Stadium,Gujarat Titans,bat,47,53,76,24,5,5,3,1,Gujarat Titans,Gujarat Titans
Delhi Capitals,Rajasthan Royals,Arun Jaitley Stadium,Delhi Capitals,bat,57,43,46,54,4,6,1,5,Rajasthan Royals,Rajasthan Royals
Punjab Kings,Sunrisers Hyderabad,M. A. Chidambaram Stadium,Punjab Kings,bat,51,49,59,41,7,3,5,1,Sunrisers Hyderabad,Punjab Kings
Gujarat Titans,Kolkata Knight Riders,Punjab Cricket Association IS Bindra Stadium,Gujarat Titans,field,56,44,53,47,3,7,2,5,Kolkata Knight Riders,Kolkata Knight Riders
Punjab Kings,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Punjab Kings,field,73,27,56,44,7,3,1,2,Punjab Kings,Punjab Kings
Lucknow Super Giants,Punjab Kings,Wankhede Stadium,Punjab Kings,bat,67,33,41,59,6,4,3,1,Punjab Kings,Punjab Kings
Punjab Kings,Chennai Super Kings,M. A. Chidambaram Stadium,Punjab Kings,bat,63,37,61,39,7,3,1,2,Chennai Super Kings,Punjab Kings
Royal Challengers Bangalore,Punjab Kings,Wankhede Stadium,Royal Challengers Bangalore,bat,79,21,64,36,5,5,3,2,Royal Challengers Bangalore,Royal Challengers Bangalore
Lucknow Super Giants,Sunrisers Hyderabad,M. A. Chidambaram Stadium,Lucknow Super Giants,bat,51,49,55,45,5,5,5,1,Lucknow Super Giants,Lucknow Super Giants
Punjab Kings,Rajasthan Royals,Sawai Mansingh Stadium,Rajasthan Royals,field,55,45,46,54,3,7,2,5,Rajasthan Royals,Rajasthan Royals
Mumbai Indians,Kolkata Knight Riders,Rajiv Gandhi International Stadium,Mumbai Indians,bat,57,43,78,22,3,7,3,4,Kolkata Knight Riders,Kolkata Knight Riders
Royal Challengers Bangalore,Rajasthan Royals,M. Chinnaswamy Stadium,Rajasthan Royals,bat,55,45,41,59,5,5,2,2,Rajasthan Royals,Rajasthan Royals
Lucknow Super Giants,Gujarat Titans,Rajiv Gandhi International Stadium,Lucknow Super Giants,field,49,51,69,31,3,7,4,5,Lucknow Super Giants,Gujarat Titans
Delhi Capitals,Royal Challengers Bangalore,Arun Jaitley Stadium,Delhi Capitals,bat,54,46,63,37,6,4,4,3,Delhi Capitals,Delhi Capitals
Gujarat Titans,Rajasthan Royals,Arun Jaitley Stadium,Gujarat Titans,bat,49,51,73,27,3,7,2,1,Rajasthan Royals,Rajasthan Royals
Kolkata Knight Riders,Lucknow Super Giants,M. Chinnaswamy Stadium,Kolkata Knight Riders,field,74,26,57,43,3,7,3,3,Lucknow Super Giants,Kolkata Knight Riders
Sunrisers Hyderabad,Lucknow Super Giants,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,bat,42,58,64,36,4,6,4,2,Sunrisers Hyderabad,Lucknow Super Giants
Gujarat Titans,Rajasthan Royals,Arun Jaitley Stadium,Gujarat Titans,field,52,48,67,33,7,3,5,1,Rajasthan Royals,Gujarat Titans
Punjab Kings,Delhi Capitals,Punjab Cricket Association IS Bindra Stadium,Punjab Kings,field,79,21,67,33,3,7,3,3,Delhi Capitals,Delhi Capitals
Chennai Super Kings,Lucknow Super Giants,M. Chinnaswamy Stadium,Lucknow Super Giants,bat,70,30,62,38,4,6,2,3,Lucknow Super Giants,Lucknow Super Giants
Gujarat Titans,Lucknow Super Giants,Punjab Cricket Association IS Bindra Stadium,Gujarat Titans,field,63,37,74,26,5,5,2,1,Gujarat Titans,Gujarat Titans
Mumbai Indians,Lucknow Super Giants,Wankhede Stadium,Lucknow Super Giants,field,56,44,49,51,3,7,2,3,Mumbai Indians,Mumbai Indians
Lucknow Super Giants,Punjab Kings,M. A. Chidambaram Stadium,Punjab Kings,field,73,27,68,32,6,4,1,3,Punjab Kings,Punjab Kings
Gujarat Titans,Mumbai Indians,Arun Jaitley Stadium,Mumbai Indians,field,67,33,68,32,7,3,5,3,Gujarat Titans,Gujarat Titans
Sunrisers Hyderabad,Gujarat Titans,Punjab Cricket Association IS Bindra Stadium,Gujarat Titans,field,54,46,55,45,5,5,4,1,Sunrisers Hyderabad,Sunrisers Hyderabad
Sunrisers Hyderabad,Punjab Kings,Rajiv Gandhi International Stadium,Punjab Kings,bat,64,36,69,31,3,7,4,4,Punjab Kings,Punjab Kings
Gujarat Titans,Delhi Capitals,Punjab Cricket Association IS Bindra Stadium,Gujarat Titans,field,69,31,57,43,5,5,5,1,Gujarat Titans,Gujarat Titans
Royal Challengers Bangalore,Chennai Super Kings,Punjab Cricket Association IS Bindra Stadium,Chennai Super Kings,field,72,28,41,59,3,7,1,1,Chennai Super Kings,Chennai Super Kings
Punjab Kings,Rajasthan Royals,Eden Gardens,Punjab Kings,field,48,52,45,55,3,7,1,2,Punjab Kings,Punjab Kings
Sunrisers Hyderabad,Mumbai Indians,Eden Gardens,Sunrisers Hyderabad,bat,53,47,50,50,4,6,4,4,Mumbai Indians,Mumbai Indians
Mumbai Indians,Punjab Kings,M. A. Chidambaram Stadium,Mumbai Indians,field,76,24,71,29,3,7,3,3,Punjab Kings,Punjab Kings
Sunrisers Hyderabad,Lucknow Super Giants,Punjab Cricket Association IS Bindra Stadium,Lucknow Super Giants,bat,43,57,67,33,6,4,4,4,Lucknow Super Giants,Lucknow Super Giants
Royal Challengers Bangalore,Mumbai Indians,M. A. Chidambaram Stadium,Royal Challengers Bangalore,bat,51,49,42,58,7,3,2,5,Royal Challengers Bangalore,Royal Challengers Bangalore
Kolkata Knight Riders,Royal Challengers Bangalore,Rajiv Gandhi International Stadium,Kolkata Knight Riders,bat,53,47,78,22,3,7,4,2,Royal Challengers Bangalore,Royal Challengers Bangalore
Lucknow Super Giants,Gujarat Titans,Sawai Mansingh Stadium,Lucknow Super Giants,bat,49,51,42,58,4,6,5,2,Lucknow Super Giants,Lucknow Super Giants
Chennai Super Kings,Rajasthan Royals,Sawai Mansingh Stadium,Chennai Super Kings,field,76,24,67,33,6,4,3,5,Rajasthan Royals,Rajasthan Royals
Delhi Capitals,Kolkata Knight Riders,M. A. Chidambaram Stadium,Kolkata Knight Riders,bat,63,37,73,27,3,7,2,5,Delhi Capitals,Delhi Capitals
Mumbai Indians,Royal Challengers Bangalore,Rajiv Gandhi International Stadium,Mumbai Indians,field,60,40,40,60,7,3,5,2,Mumbai Indians,Mumbai Indians
Rajasthan Royals,Delhi Capitals,Rajiv Gandhi International Stadium,Rajasthan Royals,bat,58,42,70,30,7,3,5,1,Delhi Capitals,Rajasthan Royals
Sunrisers Hyderabad,Punjab Kings,Arun Jaitley Stadium,Punjab Kings,field,77,23,58,42,4,6,2,5,Sunrisers Hyderabad,Sunrisers Hyderabad
Royal Challengers Bangalore,Gujarat Titans,Sawai Mansingh Stadium,Royal Challengers Bangalore,bat,68,32,64,36,3,7,1,1,Gujarat Titans,Gujarat Titans
Delhi Capitals,Lucknow Super Giants,Rajiv Gandhi International Stadium,Delhi Capitals,bat,65,35,64,36,6,4,5,2,Delhi Capitals,Delhi Capitals
Lucknow Super Giants,Sunrisers Hyderabad,Sawai Mansingh Stadium,Lucknow Super Giants,bat,55,45,54,46,3,7,4,3,Sunrisers Hyderabad,Lucknow Super Giants
Lucknow Super Giants,Mumbai Indians,M. Chinnaswamy Stadium,Lucknow Super Giants,field,74,26,47,53,4,6,4,2,Mumbai Indians,Mumbai Indians
Kolkata Knight Riders,Royal Challengers Bangalore,Rajiv Gandhi International Stadium,Royal Challengers Bangalore,field,46,54,40,60,6,4,5,2,Royal Challengers Bangalore,Kolkata Knight Riders
Kolkata Knight Riders,Royal Challengers Bangalore,Punjab Cricket Association IS Bindra Stadium,Royal Challengers Bangalore,bat,65,35,66,34,7,3,4,2,Kolkata Knight Riders,Kolkata Knight Riders
Delhi Capitals,Rajasthan Royals,Sawai Mansingh Stadium,Delhi Capitals,bat,73,27,72,28,7,3,1,5,Delhi Capitals,Rajasthan Royals
Royal Challengers Bangalore,Kolkata Knight Riders,Punjab Cricket Association IS Bindra Stadium,Royal Challengers Bangalore,bat,60,40,57,43,5,5,2,5,Royal Challengers Bangalore,Kolkata Knight Riders
Lucknow Super Giants,Chennai Super Kings,Wankhede Stadium,Lucknow Super Giants,field,78,22,43,57,7,3,1,4,Chennai Super Kings,Chennai Super Kings
Gujarat Titans,Lucknow Super Giants,Arun Jaitley Stadium,Lucknow Super Giants,field,62,38,41,59,3,7,3,2,Lucknow Super Giants,Gujarat Titans
Punjab Kings,Gujarat Titans,Arun Jaitley Stadium,Punjab Kings,bat,55,45,51,49,3,7,4,4,Gujarat Titans,Gujarat Titans
Lucknow Super Giants,Chennai Super Kings,M. Chinnaswamy Stadium,Chennai Super Kings,field,61,39,57,43,3,7,5,4,Lucknow Super Giants,Lucknow Super Giants
Delhi Capitals,Punjab Kings,Eden Gardens,Punjab Kings,field,62,38,65,35,6,4,2,3,Delhi Capitals,Delhi Capitals
Gujarat Titans,Lucknow Super Giants,M. A. Chidambaram Stadium,Lucknow Super Giants,field,45,55,42,58,6,4,1,5,Lucknow Super Giants,Lucknow Super Giants
Royal Challengers Bangalore,Rajasthan Royals,Wankhede Stadium,Rajasthan Royals,bat,53,47,40,60,7,3,4,3,Royal Challengers Bangalore,Royal Challengers Bangalore
Punjab Kings,Delhi Capitals,Rajiv Gandhi International Stadium,Delhi Capitals,field,71,29,67,33,7,3,4,2,Delhi Capitals,Punjab Kings
Punjab Kings,Mumbai Indians,M. A. Chidambaram Stadium,Mumbai Indians,bat,70,30,54,46,3,7,3,1,Mumbai Indians,Mumbai Indians
Punjab Kings,Chennai Super Kings,Wankhede Stadium,Punjab Kings,bat,68,32,75,25,6,4,2,5,Punjab Kings,Chennai Super Kings
Royal Challengers Bangalore,Kolkata Knight Riders,Sawai Mansingh Stadium,Kolkata Knight Riders,field,66,34,60,40,7,3,2,2,Kolkata Knight Riders,Kolkata Knight Riders
Royal Challengers Bangalore,Punjab Kings,Rajiv Gandhi International Stadium,Royal Challengers Bangalore,bat,50,50,60,40,6,4,5,2,Punjab Kings,Punjab Kings
Punjab Kings,Gujarat Titans,M. Chinnaswamy Stadium,Gujarat Titans,bat,56,44,48,52,3,7,1,2,Gujarat Titans,Gujarat Titans
Mumbai Indians,Gujarat Titans,Punjab Cricket Association IS Bindra Stadium,Mumbai Indians,bat,56,44,62,38,7,3,3,5,Mumbai Indians,Mumbai Indians
Punjab Kings,Chennai Super Kings,Wankhede Stadium,Punjab Kings,field,60,40,79,21,4,6,4,3,Punjab Kings,Punjab Kings
Lucknow Super Giants,Delhi Capitals,Punjab Cricket Association IS Bindra Stadium,Delhi Capitals,bat,48,52,41,59,4,6,3,1,Delhi Capitals,Delhi Capitals
Kolkata Knight Riders,Rajasthan Royals,M. A. Chidambaram Stadium,Rajasthan Royals,bat,71,29,70,30,6,4,2,3,Rajasthan Royals,Rajasthan Royals
Delhi Capitals,Rajasthan Royals,Arun Jaitley Stadium,Rajasthan Royals,field,59,41,60,40,6,4,3,1,Delhi Capitals,Delhi Capitals
Royal Challengers Bangalore,Rajasthan Royals,M. Chinnaswamy Stadium,Rajasthan Royals,field,79,21,46,54,6,4,3,3,Rajasthan Royals,Royal Challengers Bangalore
Gujarat Titans,Mumbai Indians,Sawai Mansingh Stadium,Mumbai Indians,field,52,48,61,39,5,5,5,5,Gujarat Titans,Mumbai Indians
Punjab Kings,Sunrisers Hyderabad,Punjab Cricket Association IS Bindra Stadium,Sunrisers Hyderabad,bat,44,56,42,58,3,7,4,3,Sunrisers Hyderabad,Sunrisers Hyderabad
Gujarat Titans,Kolkata Knight Riders,M. Chinnaswamy Stadium,Gujarat Titans,field,75,25,61,39,4,6,2,2,Kolkata Knight Riders,Kolkata Knight Riders
Sunrisers Hyderabad,Lucknow Super Giants,Punjab Cricket Association IS Bindra Stadium,Sunrisers Hyderabad,bat,43,57,43,57,6,4,2,3,Lucknow Super Giants,Lucknow Super Giants
Gujarat Titans,Punjab Kings,M. Chinnaswamy Stadium,Punjab Kings,field,43,57,63,37,4,6,2,3,Punjab Kings,Punjab Kings
Gujarat Titans,Lucknow Super Giants,Rajiv Gandhi International Stadium,Lucknow Super Giants,bat,75,25,69,31,3,7,1,2,Lucknow Super Giants,Lucknow Super Giants
Chennai Super Kings,Sunrisers Hyderabad,Sawai Mansingh Stadium,Sunrisers Hyderabad,bat,53,47,50,50,3,7,2,5,Sunrisers Hyderabad,Sunrisers Hyderabad
Chennai Super Kings,Kolkata Knight Riders,Eden Gardens,Kolkata Knight Riders,bat,65,35,44,56,7,3,5,4,Chennai Super Kings,Chennai Super Kings
Rajasthan Royals,Sunrisers Hyderabad,Arun Jaitley Stadium,Rajasthan Royals,field,70,30,59,41,3,7,4,5,Sunrisers Hyderabad,Sunrisers Hyderabad
Gujarat Titans,Mumbai Indians,M. A. Chidambaram Stadium,Gujarat Titans,bat,45,55,48,52,7,3,4,3,Mumbai Indians,Mumbai Indians
Mumbai Indians,Gujarat Titans,Sawai Mansingh Stadium,Mumbai Indians,field,65,35,53,47,3,7,5,2,Mumbai Indians,Mumbai Indians
Chennai Super Kings,Punjab Kings,Wankhede Stadium,Chennai Super Kings,field,43,57,46,54,3,7,1,5,Punjab Kings,Chennai Super Kings
Royal Challengers Bangalore,Kolkata Knight Riders,M. Chinnaswamy Stadium,Kolkata Knight Riders,field,41,59,49,51,4,6,3,5,Royal Challengers Bangalore,Royal Challengers Bangalore
Delhi Capitals,Lucknow Super Giants,Rajiv Gandhi International Stadium,Lucknow Super Giants,field,61,39,54,46,7,3,4,4,Lucknow Super Giants,Lucknow Super Giants
Rajasthan Royals,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Rajasthan Royals,field,78,22,62,38,3,7,3,2,Sunrisers Hyderabad,Sunrisers Hyderabad
Chennai Super Kings,Royal Challengers Bangalore,Punjab Cricket Association IS Bindra Stadium,Chennai Super Kings,bat,54,46,79,21,4,6,2,4,Chennai Super Kings,Royal Challengers Bangalore
Delhi Capitals,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,Punjab Kings,bat,71,29,76,24,6,4,3,1,Delhi Capitals,Delhi Capitals
Mumbai Indians,Royal Challengers Bangalore,Sawai Mansingh Stadium,Mumbai Indians,bat,66,34,44,56,3,7,3,1,Royal Challengers Bangalore,Royal Challengers Bangalore
Punjab Kings,Gujarat Titans,Arun Jaitley Stadium,Punjab Kings,field,50,50,41,59,6,4,4,1,Gujarat Titans,Punjab Kings
Sunrisers Hyderabad,Delhi Capitals,M. A. Chidambaram Stadium,Sunrisers Hyderabad,bat,57,43,50,50,3,7,1,5,Sunrisers Hyderabad,Delhi Capitals
Punjab Kings,Lucknow Super Giants,Arun Jaitley Stadium,Punjab Kings,field,40,60,47,53,5,5,4,2,Punjab Kings,Punjab Kings
Delhi Capitals,Lucknow Super Giants,Wankhede Stadium,Delhi Capitals,field,52,48,54,46,4,6,3,1,Delhi Capitals,Delhi Capitals
Mumbai Indians,Lucknow Super Giants,Eden Gardens,Lucknow Super Giants,bat,64,36,79,21,4,6,1,3,Mumbai Indians,Lucknow Super Giants
Chennai Super Kings,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Chennai Super Kings,bat,53,47,77,23,7,3,5,4,Sunrisers Hyderabad,Sunrisers Hyderabad
Lucknow Super Giants,Chennai Super Kings,Rajiv Gandhi International Stadium,Chennai Super Kings,field,61,39,55,45,7,3,1,4,Lucknow Super Giants,Chennai Super Kings
Chennai Super Kings,Sunrisers Hyderabad,Wankhede Stadium,Sunrisers Hyderabad,bat,56,44,73,27,3,7,5,4,Chennai Super Kings,Sunrisers Hyderabad
Gujarat Titans,Delhi Capitals,Eden Gardens,Delhi Capitals,bat,46,54,67,33,6,4,4,4,Delhi Capitals,Delhi Capitals
Kolkata Knight Riders,Royal Challengers Bangalore,Rajiv Gandhi International Stadium,Royal Challengers Bangalore,field,66,34,47,53,5,5,4,2,Kolkata Knight Riders,Kolkata Knight Riders
Gujarat Titans,Chennai Super Kings,Wankhede Stadium,Chennai Super Kings,bat,47,53,59,41,6,4,1,2,Chennai Super Kings,Chennai Super Kings
Chennai Super Kings,Royal Challengers Bangalore,Punjab Cricket Association IS Bindra Stadium,Chennai Super Kings,bat,78,22,78,22,7,3,3,3,Royal Challengers Bangalore,Chennai Super Kings
Chennai Super Kings,Royal Challengers Bangalore,M. A. Chidambaram Stadium,Chennai Super Kings,field,44,56,47,53,3,7,3,5,Chennai Super Kings,Chennai Super Kings
Sunrisers Hyderabad,Punjab Kings,Rajiv Gandhi International Stadium,Punjab Kings,bat,54,46,78,22,4,6,5,1,Sunrisers Hyderabad,Sunrisers Hyderabad
Rajasthan Royals,Sunrisers Hyderabad,M. Chinnaswamy Stadium,Sunrisers Hyderabad,bat,77,23,42,58,4,6,1,1,Sunrisers Hyderabad,Rajasthan Royals
Kolkata Knight Riders,Chennai Super Kings,Rajiv Gandhi International Stadium,Kolkata Knight Riders,field,57,43,75,25,5,5,5,1,Chennai Super Kings,Chennai Super Kings
Rajasthan Royals,Lucknow Super Giants,Eden Gardens,Lucknow Super Giants,field,75,25,72,28,4,6,4,5,Rajasthan Royals,Lucknow Super Giants
Sunrisers Hyderabad,Mumbai Indians,Wankhede Stadium,Mumbai Indians,field,44,56,47,53,4,6,4,4,Sunrisers Hyderabad,Mumbai Indians
Rajasthan Royals,Mumbai Indians,M. Chinnaswamy Stadium,Rajasthan Royals,bat,69,31,76,24,4,6,5,5,Rajasthan Royals,Rajasthan Royals
Gujarat Titans,Sunrisers Hyderabad,Arun Jaitley Stadium,Sunrisers Hyderabad,bat,71,29,61,39,6,4,5,5,Sunrisers Hyderabad,Sunrisers Hyderabad
